"y1999";"y2009";"y2018";"Freq";"area_km2";"Type";"from_1999";"from_2009";"to_2018"
"2";"3";"6";699;5,6619;"Dynamic";"Native";"Plant";"Grass"
"1";"3";"3";652;5,2812;"Dynamic";"Water_Bare";"Plant";"Plant"
"5";"6";"3";651;5,2731;"Dynamic";"Crop";"Grass";"Plant"
"5";"3";"8";644;5,2164;"Dynamic";"Crop";"Plant";"Urban"
"4";"1";"5";612;4,9572;"Dynamic";"Shrub";"Water_Bare";"Crop"
"6";"1";"1";596;4,8276;"Dynamic";"Grass";"Water_Bare";"Water_Bare"
"4";"2";"6";515;4,1715;"Dynamic";"Shrub";"Native";"Grass"
"2";"6";"5";505;4,0905;"Dynamic";"Native";"Grass";"Crop"
"3";"1";"4";482;3,9042;"Dynamic";"Plant";"Water_Bare";"Shrub"
"4";"5";"1";478;3,8718;"Dynamic";"Shrub";"Crop";"Water_Bare"
"4";"3";"8";474;3,8394;"Dynamic";"Shrub";"Plant";"Urban"
"3";"1";"1";464;3,7584;"Dynamic";"Plant";"Water_Bare";"Water_Bare"
"1";"5";"3";434;3,5154;"Dynamic";"Water_Bare";"Crop";"Plant"
"2";"3";"1";408;3,3048;"Dynamic";"Native";"Plant";"Water_Bare"
"6";"3";"2";407;3,2967;"Dynamic";"Grass";"Plant";"Native"
"4";"2";"1";405;3,2805;"Dynamic";"Shrub";"Native";"Water_Bare"
"5";"1";"4";404;3,2724;"Dynamic";"Crop";"Water_Bare";"Shrub"
"3";"5";"1";372;3,0132;"Dynamic";"Plant";"Crop";"Water_Bare"
"4";"5";"8";370;2,997;"Dynamic";"Shrub";"Crop";"Urban"
"3";"4";"1";368;2,9808;"Dynamic";"Plant";"Shrub";"Water_Bare"
"5";"1";"2";358;2,8998;"Dynamic";"Crop";"Water_Bare";"Native"
"2";"2";"8";350;2,835;"Dynamic";"Native";"Native";"Urban"
"4";"1";"2";336;2,7216;"Dynamic";"Shrub";"Water_Bare";"Native"
"4";"6";"3";324;2,6244;"Dynamic";"Shrub";"Grass";"Plant"
"3";"5";"8";308;2,4948;"Dynamic";"Plant";"Crop";"Urban"
"2";"4";"1";264;2,1384;"Dynamic";"Native";"Shrub";"Water_Bare"
"6";"3";"5";247;2,0007;"Dynamic";"Grass";"Plant";"Crop"
"5";"3";"1";242;1,9602;"Dynamic";"Crop";"Plant";"Water_Bare"
"5";"1";"8";242;1,9602;"Dynamic";"Crop";"Water_Bare";"Urban"
"3";"2";"6";240;1,944;"Dynamic";"Plant";"Native";"Grass"
"1";"4";"8";224;1,8144;"Dynamic";"Water_Bare";"Shrub";"Urban"
"1";"3";"1";222;1,7982;"Dynamic";"Water_Bare";"Plant";"Water_Bare"
"1";"5";"8";202;1,6362;"Dynamic";"Water_Bare";"Crop";"Urban"
"2";"1";"5";178;1,4418;"Dynamic";"Native";"Water_Bare";"Crop"
"4";"3";"1";174;1,4094;"Dynamic";"Shrub";"Plant";"Water_Bare"
"3";"2";"1";171;1,3851;"Dynamic";"Plant";"Native";"Water_Bare"
"3";"1";"3";170;1,377;"Dynamic";"Plant";"Water_Bare";"Plant"
"1";"2";"3";166;1,3446;"Dynamic";"Water_Bare";"Native";"Plant"
"8";"5";"8";164;1,3284;"Dynamic";"Urban";"Crop";"Urban"
"1";"6";"1";156;1,2636;"Dynamic";"Water_Bare";"Grass";"Water_Bare"
"5";"8";"5";148;1,1988;"Dynamic";"Crop";"Urban";"Crop"
"2";"1";"3";146;1,1826;"Dynamic";"Native";"Water_Bare";"Plant"
"3";"1";"5";146;1,1826;"Dynamic";"Plant";"Water_Bare";"Crop"
"3";"6";"5";146;1,1826;"Dynamic";"Plant";"Grass";"Crop"
"4";"6";"1";143;1,1583;"Dynamic";"Shrub";"Grass";"Water_Bare"
"1";"1";"6";140;1,134;"Dynamic";"Water_Bare";"Water_Bare";"Grass"
"1";"6";"6";138;1,1178;"Dynamic";"Water_Bare";"Grass";"Grass"
"5";"1";"3";136;1,1016;"Dynamic";"Crop";"Water_Bare";"Plant"
"5";"2";"1";135;1,0935;"Dynamic";"Crop";"Native";"Water_Bare"
"6";"6";"1";126;1,0206;"Dynamic";"Grass";"Grass";"Water_Bare"
"5";"3";"6";120;0,972;"Dynamic";"Crop";"Plant";"Grass"
"1";"2";"8";116;0,9396;"Dynamic";"Water_Bare";"Native";"Urban"
"5";"2";"8";114;0,9234;"Dynamic";"Crop";"Native";"Urban"
"1";"3";"2";110;0,891;"Dynamic";"Water_Bare";"Plant";"Native"
"4";"8";"4";108;0,8748;"Dynamic";"Shrub";"Urban";"Shrub"
"5";"8";"4";108;0,8748;"Dynamic";"Crop";"Urban";"Shrub"
"4";"3";"6";108;0,8748;"Dynamic";"Shrub";"Plant";"Grass"
"4";"1";"8";104;0,8424;"Dynamic";"Shrub";"Water_Bare";"Urban"
"1";"6";"4";102;0,8262;"Dynamic";"Water_Bare";"Grass";"Shrub"
"2";"3";"8";100;0,81;"Dynamic";"Native";"Plant";"Urban"
"3";"1";"2";98;0,7938;"Dynamic";"Plant";"Water_Bare";"Native"
"8";"8";"4";96;0,7776;"Dynamic";"Urban";"Urban";"Shrub"
"3";"2";"8";96;0,7776;"Dynamic";"Plant";"Native";"Urban"
"1";"3";"5";94;0,7614;"Dynamic";"Water_Bare";"Plant";"Crop"
"3";"1";"8";94;0,7614;"Dynamic";"Plant";"Water_Bare";"Urban"
"3";"8";"4";92;0,7452;"Dynamic";"Plant";"Urban";"Shrub"
"2";"8";"8";90;0,729;"Dynamic";"Native";"Urban";"Urban"
"8";"4";"8";88;0,7128;"Dynamic";"Urban";"Shrub";"Urban"
"1";"8";"1";84;0,6804;"Dynamic";"Water_Bare";"Urban";"Water_Bare"
"6";"1";"4";84;0,6804;"Dynamic";"Grass";"Water_Bare";"Shrub"
"1";"6";"5";82;0,6642;"Dynamic";"Water_Bare";"Grass";"Crop"
"8";"3";"8";82;0,6642;"Dynamic";"Urban";"Plant";"Urban"
"6";"8";"8";82;0,6642;"Dynamic";"Grass";"Urban";"Urban"
"2";"5";"1";78;0,6318;"Dynamic";"Native";"Crop";"Water_Bare"
"4";"1";"3";74;0,5994;"Dynamic";"Shrub";"Water_Bare";"Plant"
"5";"8";"3";66;0,5346;"Dynamic";"Crop";"Urban";"Plant"
"4";"2";"8";66;0,5346;"Dynamic";"Shrub";"Native";"Urban"
"6";"5";"1";64;0,5184;"Dynamic";"Grass";"Crop";"Water_Bare"
"6";"1";"2";64;0,5184;"Dynamic";"Grass";"Water_Bare";"Native"
"6";"4";"1";62;0,5022;"Dynamic";"Grass";"Shrub";"Water_Bare"
"6";"1";"6";52;0,4212;"Dynamic";"Grass";"Water_Bare";"Grass"
"1";"3";"8";52;0,4212;"Dynamic";"Water_Bare";"Plant";"Urban"
"2";"4";"8";52;0,4212;"Dynamic";"Native";"Shrub";"Urban"
"2";"5";"8";52;0,4212;"Dynamic";"Native";"Crop";"Urban"
"6";"5";"8";52;0,4212;"Dynamic";"Grass";"Crop";"Urban"
"6";"6";"8";48;0,3888;"Dynamic";"Grass";"Grass";"Urban"
"1";"6";"2";46;0,3726;"Dynamic";"Water_Bare";"Grass";"Native"
"8";"4";"4";46;0,3726;"Dynamic";"Urban";"Shrub";"Shrub"
"1";"8";"4";42;0,3402;"Dynamic";"Water_Bare";"Urban";"Shrub"
"8";"8";"5";42;0,3402;"Dynamic";"Urban";"Urban";"Crop"
"4";"8";"3";40;0,324;"Dynamic";"Shrub";"Urban";"Plant"
"4";"8";"5";38;0,3078;"Dynamic";"Shrub";"Urban";"Crop"
"1";"4";"6";38;0,3078;"Dynamic";"Water_Bare";"Shrub";"Grass"
"5";"6";"8";34;0,2754;"Dynamic";"Crop";"Grass";"Urban"
"6";"1";"5";33;0,2673;"Dynamic";"Grass";"Water_Bare";"Crop"
"8";"1";"8";30;0,243;"Dynamic";"Urban";"Water_Bare";"Urban"
"8";"5";"5";28;0,2268;"Dynamic";"Urban";"Crop";"Crop"
"6";"2";"8";26;0,2106;"Dynamic";"Grass";"Native";"Urban"
"6";"2";"1";24;0,1944;"Dynamic";"Grass";"Native";"Water_Bare"
"2";"6";"1";24;0,1944;"Dynamic";"Native";"Grass";"Water_Bare"
"1";"2";"6";24;0,1944;"Dynamic";"Water_Bare";"Native";"Grass"
"4";"8";"1";22;0,1782;"Dynamic";"Shrub";"Urban";"Water_Bare"
"3";"8";"3";22;0,1782;"Dynamic";"Plant";"Urban";"Plant"
"3";"8";"1";20;0,162;"Dynamic";"Plant";"Urban";"Water_Bare"
"5";"8";"1";18;0,1458;"Dynamic";"Crop";"Urban";"Water_Bare"
"3";"8";"5";18;0,1458;"Dynamic";"Plant";"Urban";"Crop"
"3";"6";"1";16;0,1296;"Dynamic";"Plant";"Grass";"Water_Bare"
"1";"8";"2";16;0,1296;"Dynamic";"Water_Bare";"Urban";"Native"
"8";"8";"2";16;0,1296;"Dynamic";"Urban";"Urban";"Native"
"8";"3";"3";16;0,1296;"Dynamic";"Urban";"Plant";"Plant"
"5";"6";"1";14;0,1134;"Dynamic";"Crop";"Grass";"Water_Bare"
"2";"8";"4";14;0,1134;"Dynamic";"Native";"Urban";"Shrub"
"1";"5";"6";13;0,1053;"Dynamic";"Water_Bare";"Crop";"Grass"
"6";"3";"1";12;0,0972;"Dynamic";"Grass";"Plant";"Water_Bare"
"8";"8";"1";12;0,0972;"Dynamic";"Urban";"Urban";"Water_Bare"
"8";"8";"3";12;0,0972;"Dynamic";"Urban";"Urban";"Plant"
"1";"8";"5";12;0,0972;"Dynamic";"Water_Bare";"Urban";"Crop"
"8";"2";"8";12;0,0972;"Dynamic";"Urban";"Native";"Urban"
"8";"2";"2";10;0,081;"Dynamic";"Urban";"Native";"Native"
